State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
MI,Macomb County,26,99,6/6/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/7/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/8/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/9/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/10/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/11/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/12/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/13/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/14/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/15/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/16/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/17/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/18/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/19/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/20/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/21/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/22/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/23/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/24/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/25/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/26/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/27/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/28/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/29/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,6/30/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/1/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/2/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/3/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/4/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/5/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/6/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/7/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/8/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/9/2020,1,Yes,Official,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-531127--,00.html","Mich. Exec. Order No. 2020-115 (June 5, 2020)"
MI,Macomb County,26,99,7/10/2020,1,Yes,Official,https://legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-147.pdf,"Mich. Exec. Order No. 2020-147 (July 10, 2020)"
MI,Macomb County,26,99,7/11/2020,1,Yes,Official,https://legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-147.pdf,"Mich. Exec. Order No. 2020-147 (July 10, 2020)"
MI,Macomb County,26,99,7/12/2020,1,Yes,Official,https://legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-147.pdf,"Mich. Exec. Order No. 2020-147 (July 10, 2020)"
MI,Macomb County,26,99,7/13/2020,1,Yes,Official,https://legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-147.pdf,"Mich. Exec. Order No. 2020-147 (July 10, 2020)"
MI,Macomb County,26,99,7/14/2020,1,Yes,Official,https://legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-147.pdf,"Mich. Exec. Order No. 2020-147 (July 10, 2020)"
MI,Macomb County,26,99,7/15/2020,1,Yes,Official,https://legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-147.pdf,"Mich. Exec. Order No. 2020-147 (July 10, 2020)"
MI,Macomb County,26,99,7/16/2020,1,Yes,Official,https://legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-147.pdf,"Mich. Exec. Order No. 2020-147 (July 10, 2020)"
MI,Macomb County,26,99,7/17/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/18/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/19/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/20/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/21/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/22/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/23/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/24/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/25/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/26/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/27/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/28/2020,1,Yes,Official,https://content.govdelivery.com/attachments/MIEOG/2020/07/17/file_attachments/1498115/EO%202020-153%20Emerg%20order%20-%20Masks%20-%20re-issue.pdf,"Mich. Exec. Order. No. 2020-153 (July 17, 2020)"
MI,Macomb County,26,99,7/29/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,7/30/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,7/31/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/1/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/2/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/3/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/4/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/5/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/6/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/7/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/8/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/9/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/10/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/11/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/12/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/13/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/14/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/15/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/16/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/17/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/18/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/19/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/20/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/21/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/22/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/23/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/24/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
MI,Macomb County,26,99,8/25/2020,1,Yes,Official,https://www.michigan.gov/documents/coronavirus/MDHHS_epidemic_order_-_late_july_omnibus_order_-_FINAL_ready_for_signature_697769_7.pdf,"Mich. Health Order (July 29, 2020)"
